Time,Normalized,Characterization
1,0.0,-2.1160316285642744e-09
2,0.166666667,0.16666667418559772
3,0.0,-5.328829122755452e-10
4,0.0,-1.2433287141120838e-07
5,0.083333333,0.0833342712827568
6,0.0,-5.4475733298069194e-06
7,0.083333333,0.08336076175207997
8,0.0,-0.00012025395240427704
9,0.083333333,0.08379133354432777
10,0.0,-0.0015117005117304975
11,0.0,0.0043228230671034755
12,0.083333333,0.07261468121930986
13,0.083333333,0.10641359520141935
14,0.083333333,0.04009266745638253
15,0.0,0.07067263560572706
16,0.0,-0.10122249599979559
17,0.333333333,0.4614076884460308
18,1.0,0.855030727233044
19,0.166666667,0.31543749740229593
20,0.416666667,0.27847941562667833
21,0.166666667,0.2771290470883566
22,0.416666667,0.3534379161568006
23,0.583333333,0.5879892828263292
24,0.083333333,0.1221785229639368
25,0.0,-0.03459437845307104
26,0.25,0.2247936053802409
27,0.416666667,0.5195169309366624
28,0.416666667,0.2797028901703612
29,0.416666667,0.5143437519992566
30,0.416666667,0.39499144548778997
31,0.25,0.23387053271011754
32,0.166666667,0.13979048801567812
33,0.416666667,0.5348658201685662
34,0.166666667,-0.012558368220127583
35,0.416666667,0.572938168560693
36,0.583333333,0.5192366822421004
37,0.5,0.4659764221618795
38,0.25,0.33182188327306783
39,0.083333333,0.015620076521600888
40,0.25,0.26966866166880005
41,0.333333333,0.35888268374337823
42,0.0,-0.04751459097161796
43,0.0,0.04656468909029376
44,0.083333333,0.04958381745884763
45,0.416666667,0.43632099315435025
46,0.083333333,0.07384032578587435
47,0.166666667,0.1705186245141475
48,0.25,0.24868293214693893
49,0.166666667,0.16704471343458355
50,0.083333333,0.08324313065500397
51,0.083333333,0.08335093515792785
52,0.0,-2.7256483210915533e-06
53,0.083333333,0.08333368273718396
54,0.0,-2.1020542984202806e-08
55,0.0,1.7308959703900284e-08
56,0.0,-4.472254477860815e-08
